id,L,area,cx,cy
158,59.470088958740234,781,401.82970550576186,1098.8706786171574
159,52.42707824707031,1125,848.3715555555556,784.8044444444445
160,54.1854362487793,778,324.67095115681235,917.7030848329049
161,62.570709228515625,472,823.0762711864406,726.7860169491526
162,59.81415939331055,551,312.36842105263156,583.3702359346643
163,58.742618560791016,803,625.6712328767123,820.1581569115816
164,58.653690338134766,592,357.1570945945946,818.0320945945946
165,53.145328521728516,536,249.96455223880596,555.9104477611941
166,55.4074592590332,716,489.12988826815644,484.76536312849163
167,60.32477569580078,574,571.5313588850174,702.8867595818815
168,56.306434631347656,669,602.7757847533633,548.0179372197309
169,57.92122268676758,514,312.7859922178988,1031.852140077821
170,49.86709976196289,932,735.945278969957,798.6223175965665
171,63.447330474853516,426,428.42723004694835,525.8051643192488
172,60.28805923461914,657,953.8630136986301,525.2541856925419
173,60.69752502441406,539,289.1669758812616,610.2133580705009
174,59.700008392333984,742,965.2061994609164,1020.1037735849056
175,63.587711334228516,491,319.85132382892056,532.6761710794298
176,52.45600509643555,823,891.9538274605103,716.370595382746
177,56.04785919189453,1297,576.5628373168851,1072.2212798766384
179,60.613407135009766,940,879.2031914893618,1017.4276595744681
180,56.02425765991211,537,575.7504655493482,970.1117318435754
181,58.42485809326172,1004,491.44322709163345,657.2260956175298
182,59.76976776123047,516,517.0213178294574,875.6531007751938
184,59.04285430908203,497,277.32796780684106,576.1146881287726
186,57.799564361572266,577,255.86135181975737,692.3622183708839
188,55.5958137512207,861,864.7270615563299,744.2566782810685
190,59.75520324707031,539,307.2764378478664,786.9387755102041
193,49.79757308959961,1027,267.51801363193766,914.7663096397274
194,59.62651443481445,459,910.9477124183006,1107.562091503268
195,64.2178955078125,295,759.1355932203389,965.8237288135593
196,57.9412956237793,920,747.8728260869565,1104.5141304347826
198,57.17767333984375,796,753.0288944723618,535.8517587939698
199,55.82311248779297,1133,529.270079435128,485.8137687555163
200,52.834625244140625,881,373.1373439273553,736.1906923950057
201,57.96931838989258,815,922.6368098159509,774.0319018404908
202,57.249977111816406,619,884.8206785137319,585.5282714054928
